log[ projectile_energy / GeV ],xs_production [mb]
0.0,101.8290451041397
0.2,99.64197051323438
0.4,102.78588987318088
0.6,101.78988728348645
0.8,102.30350663196297
1.0,103.30332408432997
1.2,104.04030859864518
1.4,102.99021007564956
1.6,97.35269853970168
1.8,99.73638758116168
2.0,101.0992259504652
2.2,105.16724935149456
2.4,102.92865683315455
2.6,105.75116702379549
2.8,102.91898566156563
3.0,99.55522603237323
3.2,103.24464059563971
3.4,100.62358885238095
3.6,100.87716451981106
3.8,100.93696132968861
4.0,100.50364326792041
4.2,99.5530189880935
4.4,103.04622559485749
4.6,103.14136153620588
4.8,102.91456876179932
5.0,99.15818876898707
5.2,102.32871468967016
5.4,100.8760534340978
5.6,100.24294698879903
5.8,102.27968280876826
6.0,98.53645547385882
6.2,100.72856338551341
6.4,99.82938804736925
6.6,99.27993422318642
6.8,102.43619722414775
7.0,101.66892282043938
