log[ projectile_energy / GeV ],xs_production [mb]
1.2,249.08880982328728
1.4,255.10196008755432
1.6,261.55253116633224
1.8,267.98239771547867
2.0,274.3821276585258
2.2,280.7421231140283
2.4,287.05598449710135
2.6,293.5717227955464
2.8,299.89368157350054
3.0,306.0031437654007
3.2,311.8817332214674
3.4,317.49756880354545
3.6,321.76536306413476
3.8,326.27630729841917
4.0,331.0389863513906
4.2,336.0625412709033
4.4,341.3597228994588
4.6,347.17296709332146
4.8,353.16458045019886
5.0,359.34035832280915
5.2,365.70632202556004
5.4,372.2690723746688
5.6,379.06156014280344
5.8,386.05086265722304
6.0,393.2432725544212
6.2,400.6453152207867
6.4,408.27206395203865
6.6,416.7700816009844
6.8,425.1885580165756
7.0,433.51563606672835
